Sensor_PK,ClimateFK,endDateTime,id,startDateTime,MeterFK,manufacturer,model,SpaceFK,PlugFK,RadiatorFK,BuildingFK
0,0.0,2015-06-01T14:45:00Z,Sensor1247,2013-11-04T09:15:00Z,,,,,,,
1,0.0,2015-06-01T14:45:00Z,Sensor1248,2013-11-04T09:15:00Z,,,,,,,
2,0.0,2015-06-01T14:45:00Z,Sensor1249,2013-11-04T09:15:00Z,,,,,,,
3,0.0,2015-06-01T14:45:00Z,Sensor1250,2013-11-04T09:15:00Z,,,,,,,
4,0.0,2015-06-01T14:45:00Z,Sensor1251,2013-11-04T09:15:00Z,,,,,,,
5,0.0,2015-06-01T14:45:00Z,Sensor1252,2013-11-04T09:15:00Z,,,,,,,
6,0.0,2015-06-01T14:45:00Z,Sensor1253,2013-11-04T09:15:00Z,,,,,,,
7,0.0,2015-06-01T14:45:00Z,Sensor1254,2013-11-04T09:15:00Z,,,,,,,
8,0.0,2015-06-01T14:45:00Z,Sensor1255,2013-11-04T09:15:00Z,,,,,,,
9,0.0,2015-06-01T14:45:00Z,Sensor1256,2013-11-04T09:15:00Z,,,,,,,
10,0.0,2015-06-01T14:45:00Z,Sensor1257,2013-11-04T09:15:00Z,,,,,,,
11,,2015-05-06T23:30:00Z,Sensor1228,2013-09-14T00:00:00Z,0.0,Smart Metering Solutions,Replacement gas meter,,,,
12,,2015-07-10T12:00:00Z,Sensor1258,2013-10-09T13:30:00Z,1.0,CurrentCost,Mains clamp,,,,
13,,2013-12-03T15:15:00Z,Sensor41,2013-10-02T05:00:00Z,,Onset,Hobo pendant,0.0,,,
14,,2014-06-18T10:45:00Z,Sensor42,2013-12-03T18:00:00Z,,Onset,Hobo pendant,0.0,,,
15,,2015-02-27T14:45:00Z,Sensor43,2014-06-18T11:00:00Z,,Onset,Hobo pendant,0.0,,,
16,,2015-08-14T09:15:00Z,Sensor44,2015-02-27T15:00:00Z,,Onset,Hobo pendant,0.0,,,
17,,2013-12-03T15:15:00Z,Sensor29,2013-10-02T05:00:00Z,,Onset,Hobo pendant,1.0,,,
18,,2014-06-18T10:45:00Z,Sensor30,2013-12-03T18:00:00Z,,Onset,Hobo pendant,1.0,,,
