传感器串号,时间是否重复,间隔时间,间隔类型,间隔单位,重复就省略,单位,变量类型,制造商,模块,房间编号,房间类型,楼层,面积,体积,家庭编号,时间,数据
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-12-03 10:30:00,19
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-12-03 15:30:00,21
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-12-03 15:00:00,19
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-12-03 14:30:00,19
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-12-03 14:00:00,20
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-12-03 13:30:00,20
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-12-03 13:00:00,20
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-12-03 12:30:00,19
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-12-03 12:00:00,19
sensor3,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-12-03 11:30:00,19
sensor3,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-12-03 11:00:00,19
sensor3,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-12-02 12:00:00,17
sensor3,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-12-02 11:30:00,17
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-12-02 11:00:00,17
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-12-02 10:30:00,17
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-12-02 10:00:00,17
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-12-02 09:30:00,16
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-12-02 09:00:00,16
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-12-02 08:30:00,16
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-12-02 08:00:00,16
